,platform,launch_month,ad_category_id,dev_cost,marketing_cost,users_reached,downloads_or_accesses,avg_bounce_rate,cumulative_feedback_from_customers,city_id
0,PDF WhatsApp Push,2021-01,A001,236570,66060,23509,16319,52.55,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001
1,PDF WhatsApp Push,2021-02,A001,156865,99122,19472,17017,82.53,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002
2,PDF WhatsApp Push,2021-03,A001,242728,46087,8471,2891,68.06,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003
3,PDF WhatsApp Push,2021-04,A001,147695,78868,46796,15640,66.17,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004
4,PDF WhatsApp Push,2021-05,A001,325906,135644,16805,3231,76.9,"The site takes too long to load on average phones.
People didn’t wait around.",C005
5,PDF WhatsApp Push,2021-06,A001,248972,53225,35268,16551,45.74,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C006
6,PDF WhatsApp Push,2021-07,A001,197235,36643,13329,6091,83.01,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007
7,PDF WhatsApp Push,2021-08,A001,188777,66727,39865,17866,76.14,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C008
8,PDF WhatsApp Push,2021-09,A001,99033,41005,33272,28073,43.38,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C009
9,PDF WhatsApp Push,2021-10,A001,221877,95697,47845,21517,75.39,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C010
10,PDF WhatsApp Push,2021-11,A001,246923,46029,11397,5278,67.18,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001
11,PDF WhatsApp Push,2021-12,A001,106832,44226,37373,28240,44.09,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002
12,E-paper Mobile Web,2021-01,A003,195725,93646,40525,23092,62.92,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003
13,E-paper Mobile Web,2021-02,A003,225016,90603,29570,22651,64.23,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004
14,E-paper Mobile Web,2021-03,A003,99873,58731,23284,7898,48.29,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C005
15,E-paper Mobile Web,2021-04,A003,120372,98926,23994,14217,87.28,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C006
16,E-paper Mobile Web,2021-05,A003,169464,35997,28284,9055,82.5,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007
17,E-paper Mobile Web,2021-06,A003,338339,82663,26785,4784,77.8,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C008
18,E-paper Mobile Web,2021-07,A003,226451,85506,22833,7708,73.45,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C009
19,E-paper Mobile Web,2021-08,A003,197322,79815,30122,25418,63.11,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C010
20,E-paper Mobile Web,2021-09,A003,247823,72092,10017,3841,60.59,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001
21,E-paper Mobile Web,2021-10,A003,180082,92539,21370,13237,72.55,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002
22,E-paper Mobile Web,2021-11,A003,85110,96077,34252,18724,67.27,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003
23,E-paper Mobile Web,2021-12,A003,92087,51817,12999,6608,43.11,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004
24,Mobile App Beta,2021-01,A002,234834,67861,27436,23043,65.63,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C005
25,Mobile App Beta,2021-02,A002,415324,120038,22251,7564,77.1,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C006
26,Mobile App Beta,2021-03,A002,162617,43428,47963,15016,80.32,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007
27,Mobile App Beta,2021-04,A002,180483,73934,7096,4954,62.96,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C008
